nthreads,test,routine,MFLOPS
6,xsl3,trmm,307031.98
6,xsl3,trsm,164766.08
7,xcl1,nrm2,13655.23
7,xcl1,amax,5143.81
7,xcl1,asum,8922.05
7,xcl1,axpy,21960.00
7,xcl1,copy,1967.63
7,xcl1,swap,3065.42
7,xcl1,dotc,8454.45
7,xcl1,dotu,8530.35
7,xzl1,nrm2,6515.06
7,xzl1,amax,2339.57
7,xzl1,asum,3753.63
7,xzl1,axpy,11088.61
7,xzl1,copy,920.15
7,xzl1,swap,1499.31
7,xzl1,dotc,12403.75
7,xzl1,dotu,12371.68
7,xdl1,nrm2,3535.03
7,xdl1,amax,2709.13
7,xdl1,asum,4993.57
7,xdl1,axpy,5593.53
7,xdl1,copy,924.46
7,xdl1,swap,1536.30
7,xdl1,dot,6453.67
7,xdl1,rotm,4077.61
7,xsl1,nrm2,7094.25
7,xsl1,amax,7517.71
7,xsl1,asum,11593.56
7,xsl1,axpy,11397.52
7,xsl1,copy,2073.25
7,xsl1,swap,3348.33
7,xsl1,dot,5247.12
7,xsl1,rotm,6765.27
7,xsl1,dsdot,4906.93
7,xsl1,sdsdot,4833.10
7,xcl2,gbmv,3000.32
7,xcl2,gemv,43052.58
7,xcl2,hbmv,1354.31
7,xcl2,hpmv,67616.75
7,xcl2,hemv,67221.02
7,xcl2,tbmv,1745.07
7,xcl2,tpmv,44553.85
7,xcl2,trmv,39020.13
7,xcl2,tbsv,1030.95
7,xcl2,tpsv,14441.95
7,xcl2,trsv,13049.32
7,xcl2,gerc,35115.48
7,xcl2,geru,34434.80
7,xcl2,ger2c,35158.56
7,xcl2,ger2u,35131.10
7,xcl2,hpr,34718.08
7,xcl2,her,33207.48
7,xcl2,hpr2,60368.56
7,xcl2,her2,56731.97
7,xzl2,gbmv,1925.85
7,xzl2,gemv,22016.27
7,xzl2,hbmv,1657.11
7,xzl2,hpmv,35684.30
7,xzl2,hemv,38516.70
7,xzl2,tbmv,1160.40
7,xzl2,tpmv,22733.98
7,xzl2,trmv,21197.38
7,xzl2,tbsv,1021.93
7,xzl2,tpsv,6690.56
7,xzl2,trsv,6198.90
7,xdl2,gbmv,910.60
7,xdl2,gemv,11043.48
7,xdl2,sbmv,560.70
7,xdl2,spmv,5720.43
7,xdl2,symv,21869.42
7,xdl2,tbmv,457.07
7,xdl2,tpmv,11389.42
7,xdl2,trmv,10368.90
7,xdl2,tbsv,407.52
7,xdl2,tpsv,3849.42
7,xdl2,trsv,3476.75
7,xdl2,ger,8899.88
7,xdl2,ger2,9003.77
7,xdl2,spr,8934.13
7,xdl2,syr,8480.46
7,xdl2,spr2,15419.22
7,xdl2,syr2,14626.03
7,xsl2,gbmv,1285.68
7,xsl2,gemv,21493.12
7,xsl2,sbmv,773.13
7,xsl2,spmv,11924.30
7,xsl2,symv,38998.86
7,xsl2,tbmv,660.11
7,xsl2,tpmv,23738.87
7,xsl2,trmv,18811.41
7,xsl2,tbsv,425.35
7,xsl2,tpsv,8540.55
7,xsl2,trsv,7013.98
7,xsl2,ger,17032.26
7,xsl2,ger2,17377.73
7,xsl2,spr,17670.91
7,xsl2,syr,15311.26
7,xsl2,spr2,31211.18
7,xsl2,syr2,27293.32
7,xcl3,gemm,574406.01
7,xcl3,hemm,552105.52
7,xcl3,herk,434450.66
7,xcl3,her2k,460278.02
